
# id   spot     DREAM   
# 
  107   A1   180310_23H56
  108   B1   180311_00H05
 
  112   E1   180311_00H31 
  116   D8   180311_00H54 
  117   E8   180311_00H59 
  118   F1   180311_01H04 

  120   H1   180311_01H14
  122   J1   180311_01H24
  123   F8   180311_01H29
  125   H8   180311_01H39

  131   C0   180311_02H08 
  134   E0   180311_02H33 
  135   A9   180311_02H40
  136   B9   180311_02H45
  138   C9   180311_02H51

  142   G9   180311_03H13
  144   I9   180311_03H23
  147   G0   180311_03H38
  148   H0   180311_03H43

  152   A5   180311_04H06

#  162   B5   180311_04H56
  163   C5   180311_05H01
  165   F5   180311_05H10
  168   G5   180311_05H19

  174   B2   180311_05H50
  175   C2   180311_05H56
  178   F2   180311_06H12
  179   G2   180311_06H17

  180   H2   180311_06H22
  186   B7   180311_06H46

  190   F7   180311_07H09
  191   G7   180311_07H14
  195   A6   180311_07H34
  196   B6   180311_07H39
  198   D6   180311_07H49
  199   E6   180311_07H55 

  200   B3   180311_08H01 
  201   C3   180311_08H06 
  202   D3   180311_08H11    
  203   E3   180311_08H16 
  204   F3   180311_08H23 
  205   G3   180311_08H28 
  206   H3   180311_08H33 
  207   I3   180311_08H38 
  208   J3   180311_08H43   
  209   F6   180311_08H47 
  
  210   G6   180311_08H52   
  211   H6   180311_08H58   
  212   I6   180311_09H03    
  213   J6   180311_09H08  

  277   A0   180313_03H48 

  301   C8   180313_05H30 
  302   G8   180313_05H34 
  320   B3   180313_06H53 
  333   F6   180313_07H52 

  325   G3   180313_07H20 
#  327   I3   180313_07H28 
#  328   J3   180313_07H32 
  331   D6   180313_07H44 
  345   B1   180313_08H38 

  414   E8   180315_12H07 
#  415   E8   180315_12H12
  416   E8   180315_12H16
  417   E8   180315_12H21
  418   E8   180315_12H26 



  444   E8   180316_08H05 
  445   A8   180316_08H11 
  446   B8   180316_08H19 
  447   C8   180316_08H25 
  448   D8   180316_08H29 
  449   A1   180316_08H34 
  453   B1   180316_08H46 
  454   C1   180316_08H50 
  455   D1   180316_08H54 
  456   E9   180316_08H58 
  457   E7   180316_09H03 
  458   E6   180316_09H07 
  459   E5   180316_09H12  

  460   I5   180316_09H16  
  461   J4   180316_09H20  
  462   H4   180316_09H25  
  463   G4   180316_09H31  
  464   F4   180316_09H35  
  465   I1   180316_09H41  
  466   I8   180316_09H49  
  467   G1   180316_09H58  
  468   H8   180316_10H05  
  469   H1   180316_10H12 
 
  470   H5   180316_10H20 
  471   I5   180316_10H25 
  472   I4   180316_10H29 
  473   H9   180316_10H42 
  474   H7   180316_10H47 
  475   H6   180316_10H52 
  476   H3   180316_10H58 
  477   H2   180316_11H02  
  479   H0   180316_11H06  

  490   B5   180316_12H06
 
  503   J1   180316_13H04
